Company,Pharma Company Name,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Offense Group,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Civil/Criminal,Prosecution Agreement,Court,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Parent Company Stock Ticker,Major Industry of Parent,Specific Industry of Parent,Info Source,Notes
"Serono, S.A.",Merck KGaA (EMD),"$704,000,000 ",$0 ,"$704,000,000 ",2005,20051017,healthcare-related offenses,off-label or unapproved promotion of medical products,False Claims Act and related,"Swiss corporation, Serono, S.A., together with its U.S. subsidiaries and related entities, agreed to pay $704 million to resolve criminal charges and civil allegations in connection with illegal schemes to promote, market and sell its drug Serostim used to treat AIDS wasting, a condition involving profound involuntary weight loss in AIDS patients.",federal,agency action,Justice Department Civil Division,civil and criminal,,,,,,,,,,,,Germany,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2005/October/05_civ_545.html,
Shire Pharmaceuticals LLC,Takeda Pharmaceutical,"$350,000,000 ",$0 ,"$350,000,000 ",2017,20170111,government-contracting-related offenses,False Claims Act and related,kickbacks and bribery,"Shire Pharmaceuticals LLC and other subsidiaries of Shire plc  agreed to pay $350 million to settle federal and state False Claims Act allegations that Shire and the company it acquired in 2011, Advanced BioHealing, employed kickbacks and other unlawful methods to induce clinics and physicians to use or overuse its Dermagraft bioengineered human skin substitute approved by the FDA for the treatment of diabetic foot ulcers. ",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/shire-plc-subsidiaries-pay-350-million-settle-false-claims-act-allegations,
Shire Pharmaceuticals LLC,Takeda Pharmaceutical,"$56,500,000 ",$0 ,"$56,500,000 ",2014,20140924,healthcare-related offenses,off-label or unapproved promotion of medical products,False Claims Act and related,Shire Pharmaceuticals LLC agreed to pay $56.5 million to resolve civil allegations that it violated the False Claims Act as a result of its marketing and promotion of several drugs for certain uses despite a lack of clinical data to support such claims and overstated the efficacy of the drugs.,federal,agency action,Food and Drug Administration referral to the Justice Department,civil,,,,,,,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/shire-pharmaceuticals-llc-pay-565-million-resolve-false-claims-act-allegations-relating-drug,
Sigma Aldrich Research Biochemicals Inc.,Merck KGaA (EMD),"$1,760,000 ",$0 ,"$1,760,000 ",2002,20021104,competition-related offenses,export control violation,,,federal,agency action,Bureau of Industry and Security,civil,,,,,,,,,,,,Germany,,publicly traded,,pharmaceuticals,pharmaceuticals,FOIA139,Source document obtained through a Freedom of Information Act request to the agency.
St Jude Medical Inc,Abbott Laboratories,"$17,662 ",$0 ,"$17,662 ",2009,20090601,employment-related offenses,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,civil,,,1521528,,,Texas,Austin,,78746,339112,339112: Surgical and Medical Instrument Manufacturing,USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
St. Jude Medical Inc.,Abbott Laboratories,"$16,000,000 ",$0 ,"$16,000,000 ",2011,20110120,competition-related offenses,kickbacks and bribery,,"St. Jude Medical Inc. of St. Paul, Minn., agreed to pay $16 million to resolve allegations that the company used post-market studies and a registry to pay kickbacks to induce physicians to implant the company's pacemakers and defibrillators.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/minnesota-based-st-jude-medical-pays-us-16-million-settle-claims-company-paid-kickbacks,
St. Jude Medical Inc.,Abbott Laboratories,"$3,725,000 ",$0 ,"$3,725,000 ",2010,20100604,government-contracting-related offenses,False Claims Act and related,kickbacks and bribery,"St. Jude Medical Inc., a heart device manufacturer; Parma Community General Hospital; and Norton Healthcare have paid the United States $3,898,300 to resolve false claim allegations that St. Jude paid illegal kickbacks to two hospitals to secure heart-device business. The kickbacks included alleged rebates that were ""retroactive"" and paid based on a hospital's previous purchases of St. Jude heart-device equipment and rebates that St. Jude paid for purchases of heart-device equipment sold by its competitors to induce purchases of similar equipment from St. Jude in the future.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/heart-device-manufacturer-minnesota-and-hospitals-ohio-kentucky-pay-nearly-4-million-resolve,
St. Jude Medical Inc.,Abbott Laboratories,"$3,650,000 ",$0 ,"$3,650,000 ",2012,20120531,government-contracting-related offenses,False Claims Act and related,,St. Jude Medical Inc. agreed to pay the United States $3.65 million to resolve civil allegations under the False Claims Act that the company inflated the cost of replacement pacemakers and defibrillators purchased by the Departments of Defense and Veterans Affairs.,federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/minnesota-based-st-jude-medical-pays-us-365-million-settle-claims-it-overcharged-implantable,
TAP Pharmaceutical Products Inc.,Takeda Pharmaceutical,"$875,000,000 ",$0 ,"$875,000,000 ",2001,20011003,government-contracting-related offenses,False Claims Act and related,fraud,"TAP Pharmaceutical agreed to pay a total of $875 million to resolve a  case involving fraudulent pricing and improper marketing of its prostate cancer drug Lupron. The amount included a $290 million criminal fine for violating the Prescription Drug Marketing Act; a $559.5 million False Claims Act civil settlement ; and $25.5 million in payments to state governments.  TAP was formerly a joint venture of Takeda Pharmaceutical and Abbott Laboratories; the companies dissolved the venture in 2008, and Takeda took over most of its operations.",federal,agency action,Justice Department Civil Division,civil and criminal,,,,,,,,,,,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2001/October/513civ.htm,
Teva Pharmaceutical Industries Ltd,Teva Pharmaceutical Industries,"$283,177,348 ",$0 ,"$283,177,348 ",2016,20161222,competition-related offenses,Foreign Corrupt Practices Act,,"Teva Pharmaceutical Industries Ltd. and its wholly-owned Russian subsidiary, Teva LLC agreed to resolve criminal charges and to pay a criminal penalty of more than $283 million in connection with schemes involving the bribery of government officials in Russia, Ukraine and Mexico in violation of the Foreign Corrupt Practices Act.",federal,agency action,Justice Department Criminal Division,criminal,deferred prosecution agreement,,,,,,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/teva-pharmaceutical-industries-ltd-agrees-pay-more-283-million-resolve-foreign-corrupt,
Teva Pharmaceuticals USA Inc.,Teva Pharmaceutical Industries,"$2,250,000 ",$0 ,"$2,250,000 ",2013,20130314,environment-related offenses,environmental violation,,"Teva Pharmaceuticals USA Inc. has agreed to pay a $2.25 million civil penalty to settle alleged violations of the federal Clean Air Act (CAA), Clean Water Act (CWA), and the Resource Conservation and Recovery Act (RCRA), as well as the Missouri Air Conservation Law, Clean Water Law and Hazardous Waste Management Law at its facility in Mexico, Missouri.",federal,agency action,Environmental Protection Agency referral to the Justice Department,civil,,,,,,Missouri,Mexico,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,http://www.justice.gov/opa/pr/teva-pharmaceuticals-usa-pay-225-million-civil-penalty-air-water-and-hazardous-waste,
Teva Pharmaceutical Industries Limited,Teva Pharmaceutical Industries,"$236,000,000 ",$0 ,"$236,000,000 ",2016,20161222,competition-related offenses,Foreign Corrupt Practices Act,,,federal,agency action,Securities and Exchange Commission,civil,,,,,,,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,https://www.sec.gov/news/pressrelease/2016-277.html,
Teva Pharmaceuticals USA Inc. and  IVAX LLC,Teva Pharmaceutical Industries,"$27,600,000 ",$0 ,"$27,600,000 ",2014,20140311,government-contracting-related offenses,False Claims Act and related,kickbacks and bribery,"Pharmaceutical manufacturer Teva Pharmaceuticals USA Inc. and a subsidiary, IVAX LLC, agreed to pay the government and the state of Illinois $27.6 million for allegedly violating the False Claims Act by making payments to induce prescriptions of an anti-psychotic drug for Medicare and Medicaid beneficiaries.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/pharmaceutical-company-pay-276-million-settle-allegations-involving-false-billings-federal,
"Therasense, Inc.",Abbott Laboratories,"$236,827 ",$0 ,"$236,827 ",2003,20030523,employment-related offenses,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,civil,,,32-CA-20421-001,,,California,Alameda,,94502,339112,339112: Surgical and Medical Instrument Manufacturing,USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,
UCB Inc.,UCB,"$34,000,000 ",$0 ,"$34,000,000 ",2011,20110609,healthcare-related offenses,off-label or unapproved promotion of medical products,,The U.S. subsidiary of Belgian pharmaceutical manufacturer UCB SA. pleaded guilty to the off-label promotion of its epilepsy drug Keppra and will pay more than $34 million to resolve criminal and civil liability arising out of its illegal conduct.,federal,agency action,Food and Drug Administration referral to the Justice Department,civil and criminal,,,,,,,,,,,,Belgium,,publicly traded,,pharmaceuticals,pharmaceuticals,http://www.justice.gov/opa/pr/us-subsidiary-belgian-pharmaceutical-manufacturer-pleads-guilty-label-promotion-company-pay,
"VALEANT PHARMACEUTICALS INTERNATIONAL, INC.",Bausch Health,"$10,001 ",$0 ,"$10,001 ",2016,20160701,employment-related offenses,benefit plan administrator violation,,Deficient Filer,federal,agency action,Employee Benefits Security Administration,civil,,,,,,New Jersey,,,,,,Canada,,publicly traded,BHC,pharmaceuticals,pharmaceuticals,Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php,"Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Valmed Pharmaceutical, Inc.",AbbVie,"$83,871 ",$0 ,"$83,871 ",2004,20040530,employment-related offenses,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,civil,,,1321955,,,New York,Grand Island,,14072,56142,56142: Telephone Call Centers,USA,Illinois,publicly traded,ABBV,pharmaceuticals,pharmaceuticals,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"SCHWARZ PHARMA MANUFACTURING, INC.",UCB,"$6,750 ",$0 ,"$6,750 ",2010,20100308,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Indiana,SEYMOUR,1101 C AVENUE WEST,47274,325412,325412: Pharmaceutical Preparation Manufacturing,Belgium,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
Warner Chilcott PLC,AbbVie,"$125,000,000 ",$0 ,"$125,000,000 ",2015,20151029,healthcare-related offenses,off-label or unapproved promotion of medical products,,"Warner Chilcott U.S. Sales LLC, a subsidiary of pharmaceutical manufacturer Warner Chilcott PLC, agreed to plead guilty to a felony charge of health care fraud. The plea agreement was part of a global settlement with the United States in which Warner Chilcott agreed to pay $125 million to resolve its criminal and civil liability arising from the company's allegedly illegal marketing of the drugs Actonel, Asacol, Atelvia, Doryx, Enablex, Estrace and Loestrin.",federal,agency action,Food and Drug Administration referral to the Justice Department,civil and criminal,,,,,,,,,,,,USA,Illinois,publicly traded,ABBV,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/warner-chilcott-agrees-plead-guilty-felony-health-care-fraud-scheme-and-pay-125-million,
Warner-Lambert,Pfizer,"$430,000,000 ",$0 ,"$430,000,000 ",2004,20040513,healthcare-related offenses,off-label or unapproved promotion of medical products,kickbacks and bribery,Warner-Lambert agreed to plead guilty and pay more than $430 million to resolve criminal charges and civil liabilities in connection with its Parke-Davis division's allegedly  illegal and fraudulent promotion of unapproved uses for one of its Neurontin anti-seizure drug.,federal,agency action,Justice Department Civil Division,civil and criminal,,,,,,,,,,,,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2004/May/04_civ_322.htm,
PERRIGO COMPANY OF SOUTH CAROLINA,Perrigo,"$5,000 ",$0 ,"$5,000 ",2008,20080730,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,South Carolina,GREENVILLE,4615 DAIRY DRIVE,29607,325412,325412: Pharmaceutical Preparation Manufacturing,Ireland,,publicly traded,PRGO,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"PFIZER, INC.",Pfizer,"$7,155 ",$0 ,"$7,155 ",2009,20090417,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Connecticut,GROTON,"GROTON/NEW LONDON LABS, EASTERN POINT ROAD",6340,541710,"541710: Research and Development in the Physical, Engineering, and Life Sciences",USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"CAMBREX CHARLES CITY, INC.",Cambrex,"$6,375 ",$0 ,"$6,375 ",2007,20071026,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Iowa,CHARLES CITY,1205 11TH STREET,50616,325414,325414: Biological Product (except Diagnostic) Manufacturing,USA,New Jersey,privately held,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
HOSPIRA,Pfizer,"$6,750 ",$0 ,"$6,750 ",2006,20060410,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Texas,AUSTIN,3900 HOWARD LANE,78728,325412,325412: Pharmaceutical Preparation Manufacturing,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"STERILMED, INC.",Johnson & Johnson,"$11,278 ",$0 ,"$11,278 ",2006,20060629,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Georgia,CUMMING,"767 PEACHTREE PKWY., STE. 4",30130,811219,811219: Other Electronic and Precision Equipment Repair and Maintenance,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
BARR LABORATORIES INC.,Teva Pharmaceutical Industries,"$65,250 ",$0 ,"$65,250 ",2006,20061005,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,New York,POMONA,"2 QUAKER RD., POMONA, NY",10970,325412,325412: Pharmaceutical Preparation Manufacturing,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"HOSPIRA, INC.",Pfizer,"$132,300 ",$0 ,"$132,300 ",2004,20040701,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Illinois,NORTH CHICAGO,"1401 SHERIDAN ROAD, M3B BUILDING",60064,325412,325412: Pharmaceutical Preparation Manufacturing,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"PLIVA, INC.",Teva Pharmaceutical Industries,"$19,775 ",$0 ,"$19,775 ",2003,20030325,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,New Jersey,EAST HANOVER,66 DEFOREST AVE,7936,325412,325412: Pharmaceutical Preparation Manufacturing,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"IVAX PHARMACEUTICALS, INC.",Teva Pharmaceutical Industries,"$15,120 ",$0 ,"$15,120 ",2002,20020425,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Florida,N MIAMI BEACH,50 NW 176TH ST,33169,0,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"BARR LABORATORIES, INC.",Teva Pharmaceutical Industries,"$14,000 ",$0 ,"$14,000 ",2002,20020521,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Ohio,CINCINNATI,5040 DURAMED DR.,45213,0,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"NOVOZYMES BIOLOGICALS, INC.",Novo Holdings A/S,"$5,610 ",$0 ,"$5,610 ",2003,20030128,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Virginia,SALEM,528 CHAPMAN STREET,24153,325188,325188: All Other Basic Inorganic Chemical Manufacturing,Denmark,,privately held,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
PHIBRO-TECH INC,Phibro Animal Health,"$7,560 ",$0 ,"$7,560 ",2003,20030211,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,SANTA FE SPRINGS,8851 DICE ROAD,90670,423520,423520: Coal and Other Mineral and Ore Merchant Wholesalers,USA,New Jersey,publicly traded,PAHC,pharmaceuticals,animal health products,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
SHIRE CORP,Takeda Pharmaceutical,"$8,100 ",$0 ,"$8,100 ",2002,20021107,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Rhode Island,NORTH KINGSTOWN,"DAVISVILLE BRIDGE, RT 403",2852,0,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
ALPHARMA ANIMAL HEALTH COMPANY,Zoetis,"$25,600 ",$0 ,"$25,600 ",2001,20010925,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Arkansas,LOWELL,415 A NORTH BLOOMINGTON,72745,0,,USA,New Jersey,publicly traded,ZTS,pharmaceuticals,animal health products,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
KING PHARMACEUTICALS,Pfizer,"$7,200 ",$0 ,"$7,200 ",2001,20010124,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Tennessee,BRISTOL,501 FIFTH STREET,37620,0,,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"BAUSCH AND LOMB PHARMACEUTICALS, INC.",Bausch Health,"$7,000 ",$0 ,"$7,000 ",2000,20000321,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Florida,TAMPA,8500 HIDDEN RIVER PARKWAY,33637,0,,Canada,,publicly traded,BHC,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
MALLINCKRODT INC.,Mallinckrodt,"$7,000 ",$0 ,"$7,000 ",2000,20000607,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Missouri,ST. LOUIS,MALLINCKRODT & SECOND STREETS Z-4,63147,0,,Ireland,,publicly traded,MNK,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
TEVA PHARMACEUTICAL,Teva Pharmaceutical Industries,"$5,000 ",$0 ,"$5,000 ",2000,20000809,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,New Jersey,ELMWOOD PARK,92 ROUTE 46 EAST,7407,0,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"PHIBRO-TECH, INC.",Phibro Animal Health,"$10,950 ",$0 ,"$10,950 ",2000,20000912,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,South Carolina,SUMTER,2395 CAINS MILL RD.,29151,0,,USA,New Jersey,publicly traded,PAHC,pharmaceuticals,animal health products,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
ROCHE MOLECULAR SYSTEMS INC,Roche,"$9,225 ",$0 ,"$9,225 ",2002,20021105,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,ALAMEDA,1145 ATLANTIC AVE,94501,0,,Switzerland,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
BAXTER HEALTHCARE CORP DBA BAXTER BIOSCIENCE,Takeda Pharmaceutical,"$195,000 ",$0 ,"$195,000 ",2011,20110121,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,LOS ANGELES,4501 COLORADO BLVD.,90039,325412,325412: Pharmaceutical Preparation Manufacturing,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
AMPHASTAR PHARMACEUTICALS INC,Amphastar Pharmaceuticals,"$18,500 ",$0 ,"$18,500 ",2002,20021011,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,RANCHO CUCAMONGA,11570 6TH ST,91730,325412,325412: Pharmaceutical Preparation Manufacturing,USA,California,publicly traded,AMPH,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
ELAN PHARMACEUTICALS INC.,Perrigo,"$18,225 ",$0 ,"$18,225 ",2004,20040809,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,SOUTH SAN FRANCISCO,800 GATEWAY BLVD.,94080,325412,325412: Pharmaceutical Preparation Manufacturing,Ireland,,publicly traded,PRGO,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
ELAN PHARMACEUTICALS INC.,Perrigo,"$7,125 ",$0 ,"$7,125 ",2003,20030910,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,SOUTH SAN FRANCISCO,800 GATEWAY BLVD.,94080,325412,325412: Pharmaceutical Preparation Manufacturing,Ireland,,publicly traded,PRGO,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
GENENTECH,Roche,"$11,240 ",$0 ,"$11,240 ",2003,20030116,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,SOUTH SAN FRANCISCO,"1 DNA WAY, BLDG. #5 STABILITY LABS",94080,325412,325412: Pharmaceutical Preparation Manufacturing,Switzerland,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
PHARMAVITE,Otsuka Pharmaceutical,"$20,055 ",$0 ,"$20,055 ",2005,20050503,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,SAN FERNANADO,1150 AVIATION PLACE,91342,325412,325412: Pharmaceutical Preparation Manufacturing,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
PHARMAVITE CORP,Otsuka Pharmaceutical,"$18,300 ",$0 ,"$18,300 ",2001,20011115,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,SAN FERNANDO,1150 AVIATION PLACE,91340,0,,Japan,,publicly traded,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
TEVA SICOR,Teva Pharmaceutical Industries,"$5,000 ",$0 ,"$5,000 ",2005,20051212,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,IRVINE,19 HUGHES,92618,325412,325412: Pharmaceutical Preparation Manufacturing,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
PHIBRO-TECH INC.,Phibro Animal Health,"$31,600 ",$0 ,"$31,600 ",2000,20000711,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,UNION CITY,34400 ZWISSIG WAY,94587,0,,USA,New Jersey,publicly traded,PAHC,pharmaceuticals,animal health products,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
CHIRON CORPORATION,Novartis,"$90,140 ",$0 ,"$90,140 ",2000,20000607,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,EMERYVILLE,6455 CHRISTIE AVE,94608,0,,Switzerland,,publicly traded,NYSE: NVS,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
